
















q2_results.review_year,q2_results.review_month,q2_results.review_count,q2_results.avg_rating,q2_results.low_rating_share,q2_results.verified_purchase_ratio,q2_results.avg_helpful_vote
2000,10,1,4.0,0.0000,0.0000,2.0
2002,11,1,5.0,0.0000,1.0000,11.0
2003,1,1,5.0,0.0000,0.0000,4.0
2003,2,1,5.0,0.0000,0.0000,21.0
2003,3,1,4.0,0.0000,0.0000,30.0
2003,6,1,5.0,0.0000,1.0000,10.0
2003,9,1,3.0,0.0000,0.0000,138.0
2003,11,1,5.0,0.0000,0.0000,30.0
2003,12,2,3.0,0.5000,0.5000,18.5
2004,3,1,5.0,0.0000,0.0000,31.0
2004,6,2,3.0,0.5000,0.0000,3.0
2004,7,4,3.5,0.2500,0.5000,28.0
2004,8,2,3.5,0.5000,0.0000,1.0
2004,9,1,2.0,1.0000,1.0000,5.0
2004,10,2,5.0,0.0000,0.0000,9.0
2004,11,3,1.6667,0.6667,0.6667,9.6667
2004,12,1,5.0,0.0000,0.0000,2.0
2005,1,4,5.0,0.0000,0.2500,21.0
2005,2,3,3.6667,0.3333,0.6667,13.6667
2005,3,7,4.1429,0.1429,0.4286,10.7143
2005,4,3,4.3333,0.0000,0.3333,6.3333
2005,5,10,3.2,0.3000,0.4000,11.4
2005,6,2,2.5,0.5000,0.0000,24.5
2005,7,3,2.6667,0.3333,0.6667,12.6667
2005,8,7,3.1429,0.4286,0.2857,37.7143
2005,9,10,2.7,0.5000,0.3000,6.0
2005,10,13,3.4615,0.2308,0.2308,9.6923
2005,11,10,3.0,0.4000,0.1000,18.5
2005,12,5,3.4,0.2000,0.6000,23.4
2006,1,12,4.0,0.2500,0.1667,9.0833
2006,2,24,3.75,0.2917,0.3333,83.125
2006,3,25,4.64,0.0400,0.2000,6.48
2006,4,10,4.0,0.1000,0.3000,30.3
2006,5,5,4.8,0.0000,0.4000,7.0
2006,6,6,3.0,0.5000,0.1667,9.0
2006,7,13,3.3846,0.3846,0.3077,81.2308
2006,8,16,3.0625,0.4375,0.5000,18.4375
2006,9,4,3.5,0.2500,0.5000,12.25
2006,10,10,4.5,0.1000,0.5000,26.8
2006,11,34,3.9118,0.2059,0.2353,6.6765
2006,12,20,3.9,0.1500,0.6000,54.1
2007,1,97,3.9588,0.1649,0.3608,10.7732
2007,2,39,4.0769,0.1282,0.3077,6.5385
2007,3,67,4.1642,0.1493,0.4627,12.5224
2007,4,32,4.25,0.1250,0.4688,6.4063
2007,5,58,3.8276,0.2069,0.5000,10.1724
2007,6,31,4.0645,0.1935,0.3548,5.5484
2007,7,40,4.025,0.2000,0.4750,8.025
2007,8,42,3.9286,0.1667,0.3333,9.8571
2007,9,49,4.0612,0.2041,0.3878,8.3265
2007,10,43,3.7209,0.2326,0.4186,8.2093
2007,11,36,3.6667,0.3056,0.5556,4.6111
2007,12,71,4.0282,0.1831,0.4648,8.2535
2008,1,81,4.0247,0.1481,0.4321,4.0617
2008,2,83,3.8675,0.2048,0.4096,5.253
2008,3,68,3.7059,0.2500,0.4118,6.9118
2008,4,51,3.9216,0.1765,0.3529,7.902
2008,5,59,4.0508,0.1525,0.6441,6.5424
2008,6,67,3.7761,0.1940,0.3284,6.8806
2008,7,72,3.9583,0.1944,0.5000,10.4722
2008,8,72,3.9722,0.1944,0.4722,8.9167
2008,9,75,3.92,0.1867,0.4933,10.2933
2008,10,72,3.7222,0.2500,0.4722,7.625
2008,11,77,3.987,0.1818,0.5455,5.2078
2008,12,95,3.8211,0.2316,0.4947,8.5789
2009,1,152,3.6908,0.2500,0.4211,4.8684
2009,2,128,3.9766,0.1719,0.5391,10.1563
2009,3,107,3.9439,0.2056,0.5421,7.2617
2009,4,124,3.8065,0.2419,0.4919,6.3145
2009,5,98,3.9184,0.1735,0.6224,8.2449
2009,6,100,4.04,0.1800,0.4500,5.99
2009,7,84,3.9643,0.2024,0.4762,12.4167
2009,8,119,3.9496,0.2269,0.5042,10.6807
2009,9,138,3.8043,0.2174,0.5507,19.6957
2009,10,117,4.2222,0.1368,0.7436,6.4957
2009,11,157,3.8981,0.2166,0.7389,6.7898
2009,12,190,3.6474,0.2737,0.7105,5.8579
