



















q3_results.store,q3_results.review_count,q3_results.avg_rating,q3_results.low_rating_share,q3_results.avg_helpful_vote,q3_results.verified_purchase_ratio
WAQIA,233,2.5236,0.5966,4.1202,0.9957
Quirky,499,2.5952,0.5551,18.3327,0.7234
Aqua Plumb,694,2.5965,0.5447,0.389,0.9798
FireFly Home,556,2.6367,0.5378,0.5953,0.9856
RECAFIMIL,425,2.7435,0.5365,1.7412,0.9294
Panaromia,226,2.8142,0.5221,0.792,0.9558
Qualeben,211,2.9479,0.5118,1.1374,0.9384
Cooks Innovations,356,2.7388,0.5112,1.6348,0.9635
Danisse,365,2.8575,0.4932,3.1507,0.9753
Tops,966,2.9886,0.4700,0.4576,0.9586
OBOLTS,256,2.9609,0.4688,0.2578,0.9883
KleanLogik,205,2.9463,0.4683,2.1756,0.9805
4YourHome,379,2.9024,0.4644,0.3615,0.9947
Zonon,240,2.9583,0.4625,0.6208,0.9875
Skywin,526,2.9734,0.4620,0.7966,0.9905
CCTP,545,3.1651,0.4514,0.5028,0.9817
GE APPLIANCES,204,3.0343,0.4510,7.7108,0.4608
LERIZOM,211,3.1232,0.4360,1.0711,0.9194
Summit,419,3.0621,0.4344,4.5895,0.6635
Alchemy Bar Goods,1017,3.0669,0.4277,2.2114,0.9607

